merchant_id,category,city,state,avg_transaction_value,risk_score,onboard_date,is_flagged_risky
MER00709,Education,London,England,4776.35,0.68,27-04-2024,Yes
MER00710,Grocery,Kolkata,West Bengal,3312.25,0.69,10-06-2021,No
MER00711,Travel,Vancouver,Goa,342.9,0.06,04-07-2025,No
MER00712,Education,Pune,Manipur,263.05,0.6,26-04-2026,No
MER00713,Electronics,Dubai,Dubai,1478.83,0.66,01-01-2023,No
MER00714,Insurance,Vancouver,Goa,2999.27,0.23,04-12-2021,No
MER00715,Grocery,Coimbatore,Tamil Nadu,363.03,0.89,29-03-2026,No
MER00716,Jewelry,Delhi,Delhi,2151.3,0.3,27-05-2026,No
MER00717,Dining,Chennai,Tamil Nadu,1600.94,0,16-04-2026,No
MER00718,Fashion,Tokyo,Nagaland,2689.18,0.84,21-05-2022,No
MER00719,Online Shopping,Pune,Singapore,1243.19,0.01,08-04-2023,No
MER00720,Dining,Manchester,England,2463.75,0.75,16-11-2025,Yes
MER00721,Utilities,Hyderabad,Telangana,447.78,0.03,23-01-2026,No
MER00722,Insurance,Sydney,Odisha,583.11,0.39,10-05-2021,No
MER00723,Education,Tokyo,Nagaland,4772.99,0.91,21-06-2022,No
MER00724,Furniture,Vancouver,Goa,899.09,0.04,20-02-2021,No
MER00725,Fashion,Chennai,Tamil Nadu,100.07,0.04,24-09-2021,No
MER00726,Fashion,Delhi,Delhi,194.61,0.03,28-02-2024,No
MER00727,Fuel,Pune,Odisha,100.07,0.03,12-07-2026,No
MER00728,Education,Hyderabad,Telangana,886.05,0.25,02-11-2023,No
MER00729,Online Shopping,Vancouver,Goa,11125.52,0.56,04-07-2023,Yes
MER00730,Grocery,Toronto,Ontario,9317.3,0.28,11-08-2023,No
MER00731,Utilities,Pune,Punjab,636.4,0.03,12-11-2021,No
MER00732,Education,Dubai,Dubai,721.92,0.5,01-11-2022,No
MER00733,Furniture,Pune,Maharashtra,2869.97,0.59,09-01-2022,No
MER00734,Insurance,Houston,Telangana,4508.64,0.55,01-03-2025,No
MER00735,Grocery,Los Angeles,Manipur,2279.49,0.32,13-01-2024,No
MER00736,Travel,Pune,Maharashtra,4100.65,0.24,03-02-2023,No
MER00737,Fashion,New York,Rajasthan,230.77,0.03,13-10-2021,Yes
MER00738,Fashion,Chennai,Tamil Nadu,2146.24,0.13,06-09-2022,Yes
MER00739,Online Shopping,Delhi,Delhi,2509.09,0.82,29-06-2022,No
MER00740,Utilities,Chicago,Punjab,522.23,0.34,31-01-2022,Yes
MER00741,Online Shopping,Pune,Maharashtra,3109.89,0.03,06-04-2022,Yes
MER00742,Fashion,New York,Rajasthan,5874.3,0.04,22-09-2023,No
MER00743,Utilities,Manchester,England,4664.91,0.03,23-02-2021,No
MER00744,Online Shopping,Bengaluru,Karnataka,661.99,0.03,16-04-2024,No
MER00745,Fashion,Pune,Maharashtra,883.1,0.63,08-07-2026,Yes
MER00746,Jewelry,Houston,Telangana,1484.74,0.81,02-09-2021,No
MER00747,Insurance,Toronto,Ontario,444.81,1,26-07-2024,Yes
MER00748,Fashion,Hyderabad,Telangana,6256.19,0.48,06-07-2022,No
MER00749,Electronics,Singapore,Singapore,452.51,0.13,09-11-2023,Yes
MER00750,Electronics,Vancouver,Goa,2966.13,1,21-12-2025,No
MER00751,Online Shopping,Tokyo,Nagaland,935.36,0.39,21-09-2025,Yes
MER00752,Grocery,Pune,Tamil Nadu,1805.32,0.37,29-04-2023,Yes
MER00753,Electronics,Kolkata,West Bengal,196.65,0.19,18-06-2026,No
MER00754,Travel,New York,Rajasthan,558.86,0.86,19-12-2021,Yes
MER00755,Entertainment,Chicago,Punjab,1275.38,0.43,21-02-2022,Yes
MER00756,Utilities,Melbourne,West Bengal,2361.39,0.65,20-07-2026,Yes
MER00757,Fashion,New York,Rajasthan,3106.21,0.93,06-02-2025,No
MER00758,Automobile,Phoenix,Andhra Pradesh,161.21,0.51,16-05-2024,No
MER00759,Entertainment,Phoenix,Andhra Pradesh,430.91,1,05-11-2022,No
MER00760,Fashion,Coimbatore,Tamil Nadu,2717.12,0.33,07-06-2023,No
MER00761,Fuel,Chicago,Punjab,100.07,0.83,13-06-2021,Yes
MER00762,Fuel,Singapore,Singapore,639.87,0.29,23-12-2023,No
MER00763,Fashion,Mumbai,Maharashtra,621.83,0.16,20-12-2023,No
MER00764,Travel,Singapore,Singapore,284.3,1,04-10-2026,No
MER00765,Fashion,Melbourne,West Bengal,425.73,0.45,13-04-2021,No
MER00766,Fashion,Sydney,Odisha,116.1,0.2,04-12-2023,No
MER00767,Utilities,Houston,Telangana,1882.37,0.86,24-02-2022,No
MER00768,Dining,London,England,4784.55,0.97,08-11-2021,No
MER00769,Jewelry,Chennai,Tamil Nadu,424.04,0.51,22-06-2026,No
MER00770,Entertainment,Singapore,Singapore,2884.17,0.42,07-03-2021,No
MER00771,Utilities,Los Angeles,Manipur,1805.03,0.64,13-05-2021,No
MER00772,Grocery,Dubai,Dubai,5724.22,0.04,07-11-2024,Yes
MER00773,Grocery,Melbourne,West Bengal,3300.19,0.15,17-06-2021,No
MER00774,Automobile,Phoenix,Andhra Pradesh,3930.96,0.96,19-08-2026,Yes
MER00775,Education,Pune,Telangana,2138.54,0.97,04-11-2022,No
MER00776,Utilities,Manchester,England,100.07,0.85,17-08-2026,Yes
MER00777,Automobile,Pune,West Bengal,964.24,0.16,16-08-2026,No
MER00778,Grocery,Chicago,Punjab,568.96,0.56,03-05-2021,Yes
MER00779,Fashion,Kolkata,West Bengal,4972.69,0.03,23-05-2021,Yes
MER00780,Furniture,Dubai,Dubai,2751.04,0.14,21-10-2024,Yes
MER00781,Utilities,New York,Rajasthan,290.17,0.39,28-06-2025,Yes
MER00782,Furniture,Vancouver,Goa,4133.45,0.66,03-03-2023,Yes
MER00783,Jewelry,Coimbatore,Tamil Nadu,958.2,0.54,29-06-2025,Yes
MER00784,Fashion,Pune,Maharashtra,808.44,0.35,15-10-2021,Yes
MER00785,Travel,Singapore,Singapore,2052.68,0.28,13-08-2024,No
MER00786,Insurance,Tokyo,Nagaland,1781.43,0.78,03-06-2026,No
MER00787,Electronics,Delhi,Delhi,1645.49,0.03,27-12-2021,No
MER00788,Healthcare,Delhi,Delhi,688.41,0.93,28-07-2021,Yes
MER00789,Fashion,Vancouver,Goa,6526.47,0.89,11-01-2022,Yes
MER00790,Education,Melbourne,West Bengal,6096.31,0.47,18-09-2023,Yes
MER00791,Jewelry,Delhi,Delhi,108.34,0.98,02-07-2023,Yes
MER00792,Fashion,Pune,Maharashtra,924.46,0.11,30-10-2025,No
MER00793,Electronics,Vancouver,Goa,193.24,0.99,21-05-2021,No
MER00794,Jewelry,Kolkata,West Bengal,3897.56,0.9,04-10-2022,No
MER00795,Electronics,Melbourne,West Bengal,4452.23,0.27,25-11-2023,Yes
MER00796,Dining,Dubai,Dubai,1560.86,0.03,11-09-2025,Yes
MER00797,Fuel,Mumbai,Maharashtra,3761.14,0.31,22-07-2021,No
MER00798,Entertainment,London,England,2530.47,1,09-10-2021,No
MER00799,Utilities,New York,Rajasthan,1484.59,0.25,08-02-2026,No
MER00800,Dining,Pune,Maharashtra,1004.52,0.03,22-10-2024,No
MER00801,Electronics,Melbourne,West Bengal,719.11,0.95,01-03-2024,Yes
MER00802,Healthcare,Coimbatore,Tamil Nadu,700.67,0.01,20-02-2023,No
MER00803,Healthcare,New York,Rajasthan,1751.37,0.69,09-12-2022,Yes
MER00804,Fuel,Los Angeles,Manipur,464.98,0.25,05-03-2024,No
MER00805,Dining,Vancouver,Goa,484.24,0.29,07-07-2021,Yes
MER00806,Utilities,Los Angeles,Manipur,120.9,0.29,07-02-2022,Yes
MER00807,Furniture,Pune,Andhra Pradesh,2000.36,0.9,04-03-2026,No
MER00808,Electronics,New York,Rajasthan,10450.14,0.93,28-10-2024,No
MER00809,Jewelry,Sydney,Odisha,4500.41,0.01,03-03-2022,Yes
MER00810,Travel,New York,Rajasthan,2546.24,0.53,30-07-2025,No
MER00811,Electronics,Sydney,Odisha,3179.13,0.07,13-07-2026,Yes
MER00812,Grocery,Pune,Telangana,1178.63,0.03,16-07-2024,No
MER00813,Grocery,Kolkata,West Bengal,807.87,0.77,24-03-2021,Yes
MER00814,Insurance,Melbourne,West Bengal,1019.72,0.47,12-11-2025,Yes
MER00815,Insurance,Hyderabad,Telangana,269.86,0.99,06-12-2024,No
MER00816,Jewelry,Vancouver,Goa,2109.13,0.91,30-07-2021,Yes
MER00817,Education,Coimbatore,Tamil Nadu,484.42,0.34,18-05-2023,Yes
MER00818,Electronics,Vancouver,Goa,2978.36,0.11,16-08-2023,No
MER00819,Entertainment,Houston,Telangana,521.38,0.16,17-01-2026,Yes
MER00820,Utilities,Dubai,Dubai,617.86,0.08,02-05-2026,Yes
MER00821,Travel,Toronto,Ontario,6407.38,0.48,18-08-2023,Yes
MER00822,Automobile,Tokyo,Nagaland,322.75,0.03,11-12-2023,No
MER00823,Dining,Tokyo,Nagaland,1481.67,0.03,24-07-2026,No
MER00824,Utilities,Pune,Dubai,100.07,0.14,14-11-2022,No
MER00825,Education,Delhi,Delhi,289.48,0.71,03-01-2021,No
MER00826,Grocery,Kolkata,West Bengal,2107.52,0.56,27-02-2024,No
MER00827,Entertainment,Melbourne,West Bengal,2092.44,0.34,08-11-2022,Yes
MER00828,Education,Coimbatore,Tamil Nadu,529.16,0.09,19-05-2022,No
MER00829,Travel,Los Angeles,Manipur,4219.07,0.27,29-07-2022,No
MER00830,Online Shopping,Dubai,Dubai,2522.58,0.34,03-02-2023,Yes
MER00831,Grocery,Delhi,Delhi,815.1,0.52,27-03-2024,No
MER00832,Fuel,Chennai,Tamil Nadu,100.07,0.87,21-03-2021,No
MER00833,Electronics,Sydney,Odisha,2907.17,0.48,05-12-2022,Yes
MER00834,Online Shopping,Melbourne,West Bengal,2745.69,0.64,06-09-2022,Yes
MER00835,Fashion,Singapore,Singapore,422.29,0.85,29-01-2022,Yes
MER00836,Insurance,Phoenix,Andhra Pradesh,959.07,0.03,12-04-2024,No
MER00837,Insurance,Bengaluru,Karnataka,588.42,0.75,17-11-2023,Yes
MER00838,Furniture,Coimbatore,Tamil Nadu,796.69,0.51,19-11-2021,No
MER00839,Insurance,Bengaluru,Karnataka,778.13,0.2,05-01-2025,No
MER00840,Entertainment,Pune,Maharashtra,7561.38,0.44,21-08-2022,No
MER00841,Furniture,Pune,Singapore,2874.28,0.03,16-03-2025,Yes
MER00842,Travel,Vancouver,Goa,100.07,0.81,06-04-2025,No
MER00843,Fashion,Delhi,Delhi,749.86,0.23,19-06-2021,No
MER00844,Fuel,Singapore,Singapore,101.05,0.84,08-08-2025,Yes
MER00845,Automobile,New York,Rajasthan,219.83,0.15,26-07-2026,No
MER00846,Entertainment,London,England,1710.39,0.94,24-05-2026,Yes
MER00847,Online Shopping,Coimbatore,Tamil Nadu,772.29,0.27,22-06-2025,No
MER00848,Fashion,Vancouver,Goa,528.75,0.9,21-07-2026,No
MER00849,Entertainment,Tokyo,Nagaland,201.83,0.64,23-05-2023,No
MER00850,Healthcare,Melbourne,West Bengal,4273.04,0.63,21-02-2021,Yes
MER00851,Healthcare,Pune,Punjab,1933.22,0.45,10-10-2024,No
MER00852,Fashion,Tokyo,Nagaland,327.17,1,24-07-2025,No
MER00853,Electronics,Chennai,Tamil Nadu,3008.32,0.87,26-09-2023,No
MER00854,Furniture,Chennai,Tamil Nadu,2919.75,0.44,22-05-2023,No
MER00855,Travel,Mumbai,Maharashtra,783.3,0.8,17-03-2026,Yes
MER00856,Fashion,Houston,Telangana,517.56,0.74,22-11-2022,No
MER00857,Fuel,Mumbai,Maharashtra,3463.82,0.48,26-08-2024,No
MER00858,Education,Tokyo,Nagaland,899.66,0.03,15-08-2021,No
MER00859,Electronics,Vancouver,Goa,3860.24,0.13,10-02-2025,No
MER00860,Automobile,Toronto,Ontario,100.07,0.56,25-06-2024,Yes
MER00861,Fuel,Delhi,Delhi,1483.45,0.18,23-12-2022,No
MER00862,Electronics,Pune,Tamil Nadu,495.92,0.63,01-12-2021,No
MER00863,Automobile,Pune,Manipur,2329.76,0.03,13-09-2021,Yes
MER00864,Utilities,New York,Rajasthan,11866.13,0.88,23-03-2022,No
MER00865,Utilities,Houston,Telangana,1163.8,0.03,09-06-2025,No
MER00866,Fashion,Pune,Punjab,311.41,0.02,08-05-2023,No
MER00867,Electronics,Los Angeles,Manipur,864.49,0.96,05-04-2021,Yes
MER00868,Education,Pune,Maharashtra,4542.13,0.91,07-12-2021,No
MER00869,Healthcare,Manchester,England,3002.83,0.55,07-07-2021,No
MER00870,Travel,Chennai,Tamil Nadu,628.48,0.25,20-06-2025,Yes
MER00871,Entertainment,London,England,6240.86,0.22,26-09-2024,No
MER00872,Dining,Singapore,Singapore,2046.72,0.62,09-11-2022,No
MER00873,Fuel,Tokyo,Nagaland,467.96,0.78,13-09-2024,Yes
MER00874,Insurance,Mumbai,Maharashtra,1798.77,0.08,31-12-2025,No
MER00875,Utilities,Pune,West Bengal,100.07,0.84,29-03-2021,Yes
MER00876,Grocery,Singapore,Singapore,3526.24,0.28,08-09-2023,No
MER00877,Fashion,Houston,Telangana,943.68,0.61,19-09-2022,Yes
MER00878,Healthcare,Singapore,Singapore,4258.54,0.84,22-02-2022,Yes
MER00879,Electronics,London,England,3442.31,0.22,14-05-2021,Yes
MER00880,Dining,Toronto,Ontario,2345.42,0.77,13-10-2021,No
MER00881,Fuel,Los Angeles,Manipur,698.45,0.81,29-12-2021,Yes
MER00882,Fuel,Manchester,England,7135.21,0.83,29-09-2022,No
MER00883,Healthcare,Toronto,Ontario,1691.1,0.49,28-06-2021,Yes
MER00884,Fashion,Dubai,Dubai,4861.4,0.03,03-05-2021,Yes
MER00885,Dining,Houston,Telangana,586,0.55,15-02-2021,No
MER00886,Fashion,Tokyo,Nagaland,8294.09,0.27,05-03-2025,No
MER00887,Online Shopping,New York,Rajasthan,3486.28,0.72,17-09-2025,Yes
MER00888,Fashion,Bengaluru,Karnataka,6060.78,0.77,22-06-2025,No
MER00889,Grocery,Vancouver,Goa,577.44,0.77,19-02-2026,No
MER00890,Fashion,Houston,Telangana,1226.55,0.4,09-12-2024,Yes
MER00891,Fashion,Phoenix,Andhra Pradesh,305.47,0.03,03-06-2025,No
MER00892,Grocery,Pune,Maharashtra,100.07,0.08,28-05-2025,Yes
MER00893,Automobile,Melbourne,West Bengal,768.03,0.03,05-09-2024,No
MER00894,Fuel,Houston,Telangana,6157.57,0.81,28-07-2023,No
MER00895,Education,Pune,Maharashtra,2300.38,0.35,12-08-2023,Yes
MER00896,Furniture,Houston,Telangana,855.6,0.35,11-06-2023,Yes
MER00897,Automobile,Pune,Ontario,6283.31,0.03,29-05-2026,No
MER00898,Jewelry,Houston,Telangana,2792.08,0.1,28-06-2024,No
MER00899,Jewelry,Vancouver,Goa,4849.86,0.54,07-02-2026,No
MER00900,Online Shopping,Dubai,Dubai,5340.65,0.54,30-03-2026,No
MER00901,Jewelry,Melbourne,West Bengal,2878.76,0.23,26-09-2023,Yes
MER00902,Insurance,Coimbatore,Tamil Nadu,657.14,0.03,10-04-2025,No
MER00903,Dining,Manchester,England,11461.47,0.65,09-08-2023,No
MER00904,Fashion,Houston,Telangana,886.35,0.9,18-01-2022,No
MER00905,Automobile,Phoenix,Andhra Pradesh,2327.69,0.21,18-02-2025,No
MER00906,Furniture,Phoenix,Andhra Pradesh,3826.23,0.03,04-08-2022,Yes
MER00907,Online Shopping,Delhi,Delhi,485.11,0.56,25-10-2022,Yes
MER00908,Dining,Hyderabad,Telangana,100.07,0.33,05-07-2026,No
MER00909,Furniture,Manchester,England,1040.56,0.89,17-08-2023,Yes
MER00910,Utilities,Chicago,Punjab,660.19,0.72,07-04-2023,No
MER00911,Fashion,Tokyo,Nagaland,123.68,0.83,19-06-2023,Yes
MER00912,Automobile,Phoenix,Andhra Pradesh,4211.04,0.29,23-07-2025,Yes
MER00913,Education,Toronto,Ontario,100.07,0.7,18-10-2022,Yes
MER00914,Insurance,Dubai,Dubai,100.07,0.03,11-03-2021,Yes
MER00915,Furniture,London,England,1936.04,0.56,18-09-2024,Yes
MER00916,Entertainment,Sydney,Odisha,2040.73,0.91,26-12-2025,No
MER00917,Insurance,Houston,Telangana,3628.12,0.93,18-05-2025,Yes
MER00918,Grocery,Hyderabad,Telangana,1524.42,0.56,04-09-2021,No
MER00919,Insurance,Los Angeles,Manipur,984.11,0.08,06-06-2026,No
MER00920,Dining,Bengaluru,Karnataka,398.87,0.76,29-05-2022,No
MER00921,Travel,Houston,Telangana,1789.87,0.62,22-07-2021,No
MER00922,Entertainment,Delhi,Delhi,1711.14,0.28,03-05-2023,No
MER00923,Fuel,Delhi,Delhi,795.99,0.57,12-10-2024,Yes
MER00924,Insurance,Los Angeles,Manipur,1932.87,0.7,30-03-2024,No
MER00925,Entertainment,Mumbai,Maharashtra,1257.38,0.23,14-10-2022,No
MER00926,Furniture,Kolkata,West Bengal,3374.96,0.85,02-10-2024,No
MER00927,Automobile,Bengaluru,Karnataka,1739.63,0.19,24-10-2025,Yes
MER00928,Education,Chicago,Punjab,5526.48,0.28,16-09-2022,No
MER00929,Insurance,Pune,West Bengal,1559.55,0.17,02-05-2025,No
MER00930,Insurance,Chicago,Punjab,4469.52,0.88,29-11-2025,No
MER00931,Online Shopping,Toronto,Ontario,1570.13,0.73,15-04-2026,No
MER00932,Fashion,Tokyo,Nagaland,1733.05,0.42,30-07-2025,Yes
MER00933,Fashion,Phoenix,Andhra Pradesh,1013.96,0.24,08-02-2021,No
MER00934,Travel,Pune,Karnataka,1122.22,0.3,29-10-2021,Yes
MER00935,Dining,Mumbai,Maharashtra,5509.16,0.03,06-04-2021,No
MER00936,Jewelry,Phoenix,Andhra Pradesh,605.36,0.59,31-03-2024,Yes
MER00937,Entertainment,Pune,Telangana,358.98,0.03,14-06-2026,No
MER00938,Entertainment,Melbourne,West Bengal,3646.4,0.74,06-02-2022,No
MER00939,Fashion,Dubai,Dubai,1820.34,0.31,12-02-2022,No
MER00940,Entertainment,Melbourne,West Bengal,769.96,0.95,06-05-2026,Yes
MER00941,Fashion,Bengaluru,Karnataka,1232.68,0.2,04-06-2026,No
MER00942,Travel,Houston,Telangana,1588.48,0.18,28-08-2021,No
MER00943,Utilities,Los Angeles,Manipur,100.07,0.58,25-09-2021,No
MER00944,Automobile,Singapore,Singapore,3541.31,0.19,14-05-2024,No
MER00945,Entertainment,Pune,England,1102.91,0.93,05-09-2024,No
MER00946,Automobile,Sydney,Odisha,2357.13,0.88,30-11-2025,No
MER00947,Insurance,Delhi,Delhi,3700.8,0.23,25-02-2025,No
MER00948,Fuel,Kolkata,West Bengal,3812.9,0.11,26-09-2023,No
MER00949,Grocery,Chicago,Punjab,100.07,0.36,08-08-2022,Yes
MER00950,Utilities,Delhi,Delhi,962.1,0.03,25-10-2022,No
MER00951,Travel,Pune,Dubai,1907.27,0.93,29-09-2021,Yes
MER00952,Education,Pune,Dubai,4439.12,0.48,14-07-2024,No
MER00953,Healthcare,Vancouver,Goa,3225.55,0.05,29-07-2023,No
MER00954,Insurance,Dubai,Dubai,1853.96,0.4,08-04-2026,No
MER00955,Insurance,Tokyo,Nagaland,8337.31,0.12,25-12-2023,No
MER00956,Healthcare,Pune,Andhra Pradesh,1256.02,0.56,11-03-2023,No
MER00957,Education,Mumbai,Maharashtra,3796.03,0.9,11-10-2025,No
MER00958,Online Shopping,Vancouver,Goa,3512.12,0.34,11-04-2021,Yes
MER00959,Furniture,Dubai,Dubai,4872.77,0.99,13-11-2022,No
MER00960,Online Shopping,Coimbatore,Tamil Nadu,8892.8,0.65,05-04-2022,No
MER00961,Automobile,Manchester,England,1469.15,0.15,05-08-2023,No
MER00962,Insurance,Pune,Ontario,535.39,0.76,09-02-2025,Yes
MER00963,Electronics,Manchester,England,100.07,0.67,17-04-2021,No
MER00964,Grocery,Houston,Telangana,3946.72,0.44,17-01-2023,No
MER00965,Automobile,Coimbatore,Tamil Nadu,3717.08,0.73,15-07-2026,No
MER00966,Electronics,Toronto,Ontario,918.86,0.44,31-10-2022,Yes
MER00967,Grocery,Houston,Telangana,196.92,0.11,13-10-2022,Yes
MER00968,Insurance,Sydney,Odisha,100.07,0.49,18-04-2022,No
MER00969,Entertainment,Vancouver,Goa,1385.29,0.32,13-11-2025,Yes
MER00970,Fuel,New York,Rajasthan,100.07,0.2,10-11-2024,No
MER00971,Fashion,Vancouver,Goa,3268.42,0.19,14-02-2021,No
MER00972,Jewelry,Chicago,Punjab,767.01,0.77,27-04-2024,No
MER00973,Entertainment,Coimbatore,Tamil Nadu,2175.52,0.84,22-09-2025,No
MER00974,Insurance,Delhi,Delhi,314.03,0.33,21-06-2025,Yes
MER00975,Grocery,Pune,Delhi,4042.3,0.27,22-04-2022,Yes
MER00976,Utilities,Kolkata,West Bengal,100.07,0.81,20-12-2022,No
MER00977,Fuel,Vancouver,Goa,1083.43,0.39,24-06-2026,Yes
MER00978,Travel,Phoenix,Andhra Pradesh,100.07,0.66,08-09-2023,No
MER00979,Electronics,Singapore,Singapore,515.17,0.33,18-04-2025,No
MER00980,Fuel,Toronto,Ontario,8556.55,0.8,08-01-2021,Yes
MER00981,Education,Chennai,Tamil Nadu,3280.33,0.9,30-03-2023,No
MER00982,Furniture,Mumbai,Maharashtra,3211.23,0.75,13-05-2021,No
MER00983,Fashion,Los Angeles,Manipur,433.01,0.14,22-02-2025,No
MER00984,Education,Vancouver,Goa,135.79,0.03,20-04-2022,No
MER00985,Fuel,Bengaluru,Karnataka,1860.74,0.79,06-09-2022,No
MER00986,Healthcare,Melbourne,West Bengal,411.25,0.8,07-11-2021,No
MER00987,Utilities,Manchester,England,3132.2,0.03,29-10-2021,No
MER00988,Online Shopping,Sydney,Odisha,1175.97,0.93,30-07-2026,No
MER00989,Automobile,Pune,Punjab,926.78,0.96,26-10-2021,No
MER00990,Travel,Toronto,Ontario,253,0.91,17-11-2021,No
MER00991,Utilities,Chicago,Punjab,11175.73,0.27,03-05-2022,No
MER00992,Travel,Chennai,Tamil Nadu,6347.62,0.03,30-11-2021,No
MER00993,Entertainment,Hyderabad,Telangana,100.07,0.98,03-11-2021,No
MER00994,Automobile,Kolkata,West Bengal,909.37,0.72,17-06-2023,No
MER00995,Healthcare,Melbourne,West Bengal,1091.18,0.32,24-12-2024,No
MER00996,Travel,Toronto,Ontario,804.23,0.34,01-06-2022,Yes
MER00997,Healthcare,Coimbatore,Tamil Nadu,5550.45,0.43,09-10-2021,No
MER00998,Travel,London,England,2655.54,0.62,14-06-2025,No
MER00999,Furniture,Tokyo,Nagaland,6343.34,0.54,26-04-2022,Yes
MER01000,Healthcare,Bengaluru,Karnataka,4250.99,0.22,01-09-2023,Yes
MER01001,Automobile,Toronto,Ontario,2909.25,0.55,13-05-2026,Yes
MER01002,Automobile,Mumbai,Maharashtra,2487.83,0.72,16-03-2022,Yes
MER01003,Automobile,Coimbatore,Tamil Nadu,4122.26,0.29,06-07-2022,No
MER01004,Healthcare,Pune,Maharashtra,2404.98,0.93,04-12-2025,No
MER01005,Insurance,Mumbai,Maharashtra,100.07,0.7,31-03-2023,Yes
MER01006,Insurance,Tokyo,Nagaland,2188.97,0.42,13-05-2026,No
MER01007,Electronics,Vancouver,Goa,1547.22,0.38,24-02-2026,No
MER01008,Fuel,Los Angeles,Manipur,8123.1,0.12,15-06-2025,No
MER01009,Fashion,Bengaluru,Karnataka,100.07,0.72,13-03-2026,Yes
MER01010,Furniture,Houston,Telangana,178.43,0.86,06-09-2022,Yes
MER01011,Fashion,Pune,England,713.57,0.68,26-12-2024,Yes
MER01012,Fashion,Singapore,Singapore,5087.05,0.03,18-09-2025,No
MER01013,Education,Sydney,Odisha,6659.18,0.96,05-04-2023,No
MER01014,Dining,Vancouver,Goa,2707.58,0.24,06-09-2024,No
MER01015,Furniture,Bengaluru,Karnataka,217.09,0.2,02-08-2026,No
MER01016,Healthcare,Los Angeles,Manipur,147.65,0.71,26-02-2024,No
MER01017,Electronics,Singapore,Singapore,1406.3,0.7,18-02-2022,Yes
MER01018,Grocery,Phoenix,Andhra Pradesh,16146.86,0.2,22-11-2023,No
MER01019,Travel,Singapore,Singapore,4169.65,0.02,01-03-2023,Yes
MER01020,Jewelry,Phoenix,Andhra Pradesh,5509.34,0.74,30-08-2024,No
MER01021,Travel,New York,Rajasthan,2053.89,0.33,28-01-2024,No
MER01022,Insurance,Pune,Goa,4019.76,0.03,07-12-2024,No
MER01023,Jewelry,Pune,England,100.07,0.98,29-10-2021,Yes
MER01024,Healthcare,London,England,155.49,0.91,24-04-2025,No
MER01025,Dining,Mumbai,Maharashtra,5108.19,0.37,05-10-2025,Yes
MER01026,Jewelry,Singapore,Singapore,592.9,0.03,10-07-2021,No
MER01027,Fuel,Coimbatore,Tamil Nadu,100.07,0.2,20-10-2025,No
MER01028,Fashion,Coimbatore,Tamil Nadu,2251.55,0.57,29-07-2025,No
MER01029,Grocery,Coimbatore,Tamil Nadu,444.34,0.49,31-07-2024,Yes
MER01030,Entertainment,Los Angeles,Manipur,535.76,0.72,26-08-2022,Yes
MER01031,Healthcare,Bengaluru,Karnataka,898.19,0.02,28-04-2023,No
MER01032,Dining,Pune,Maharashtra,2928.82,0.03,22-06-2022,No
MER01033,Dining,London,England,180.07,0.41,07-01-2023,Yes
MER01034,Grocery,Mumbai,Maharashtra,1145.35,0.4,28-06-2023,Yes
MER01035,Entertainment,Delhi,Delhi,2287.93,0.7,10-04-2026,No
MER01036,Electronics,Coimbatore,Tamil Nadu,476.21,0.4,14-10-2022,No
MER01037,Insurance,Sydney,Odisha,354.34,0.96,27-10-2023,No
MER01038,Fashion,Chicago,Punjab,1089.29,0.7,27-05-2023,No
MER01039,Insurance,Melbourne,West Bengal,775.31,0.57,11-09-2022,No
MER01040,Utilities,New York,Rajasthan,100.07,0.23,15-03-2021,No
MER01041,Education,Chennai,Tamil Nadu,7084.56,0.89,11-05-2022,No
MER01042,Insurance,Singapore,Singapore,108.96,0.12,10-03-2022,No
MER01043,Fashion,Los Angeles,Manipur,4753.34,0.6,12-02-2022,Yes
MER01044,Healthcare,Pune,England,1235.58,0.03,28-06-2025,No
MER01045,Automobile,Melbourne,West Bengal,2281.33,0.52,18-07-2026,No
MER01046,Automobile,New York,Rajasthan,3907.98,0.8,03-01-2026,No
MER01047,Fuel,Pune,Maharashtra,1804.09,0.44,04-01-2024,Yes
MER01048,Entertainment,Mumbai,Maharashtra,304.76,0.4,24-11-2024,No
MER01049,Healthcare,Singapore,Singapore,403.03,0.91,05-08-2024,Yes
MER01050,Fashion,Toronto,Ontario,3214.45,0.6,02-10-2025,No
MER01051,Dining,New York,Rajasthan,620.39,0.03,24-06-2024,No
MER01052,Fashion,Kolkata,West Bengal,1783.47,0.89,17-04-2021,No
MER01053,Fashion,Kolkata,West Bengal,1217.51,0.03,23-09-2024,No
MER01054,Online Shopping,New York,Rajasthan,823.77,0.62,04-10-2021,No
MER01055,Furniture,Delhi,Delhi,100.07,0.53,15-10-2024,Yes
MER01056,Education,Chicago,Punjab,2727.7,0.02,16-09-2021,No
MER01057,Online Shopping,Mumbai,Maharashtra,2177.53,0.53,15-12-2023,No
MER01058,Insurance,Pune,Nagaland,1032.57,0.77,17-04-2021,Yes
MER01059,Electronics,Pune,Maharashtra,613.58,0.96,02-07-2022,No
MER01060,Automobile,New York,Rajasthan,1550.91,0.96,22-10-2021,No
MER01061,Jewelry,Houston,Telangana,3497.68,0.03,11-08-2022,Yes
MER01062,Furniture,Chicago,Punjab,1814.46,0.27,19-07-2024,No
MER01063,Fashion,London,England,7122.45,0.38,15-12-2024,No
MER01064,Education,Coimbatore,Tamil Nadu,131.12,0.95,03-02-2021,No
